n_sampled,n_bitten,n_envenom,cluster_long,cluster_lat,elevation,climate,popden,occupation,climate2,climate3,elevation1,elevation2,occupation1,occupation2,sb_logit_p
164,0,0,79.944544,8.009494,34.21145641,1,31.02,0.38,0,0,34.21145641,0,0.38,0.29,-5.796057751
148,0,0,79.764652,7.893015,8.509103232,1,702.84,0.11,0,0,8.509103232,0,0.11,0.02,-5.693732139
156,0,0,79.90615,7.866056,36.73139808,1,133.756,0.42,0,0,36.73139808,0,0.42,0.33,-5.746203191
135,0,0,79.855026,7.785669,15.79595774,1,132.448,0.42,0,0,15.79595774,0,0.42,0.33,-5.602118821
144,1,1,79.980163,7.938615,48.73415713,1,101.063,0.34,0,0,48.73415713,0,0.34,0.25,-4.560869927
150,0,0,80.064275,7.900627,69.7904094,1,273.624,0.34,0,0,69.7904094,0,0.34,0.25,-5.707110265
160,2,1,80.741689,8.715245,85.29320046,1,43.771,0.47,0,0,85.29320046,0,0.47,0.38,-4.149463861
165,0,0,80.463685,8.666655,89.22150092,1,57.008,0.36,0,0,89.22150092,0,0.36,0.27,-5.802118375
148,3,2,80.562585,8.667464,114.7114725,1,42.479,0.36,0,0,114.7114725,0,0.36,0.27,-3.727413118
155,0,0,80.406088,8.610285,91.22864285,1,67.291,0.36,0,0,91.22864285,0,0.36,0.27,-5.739792912
142,1,0,80.448124,8.520603,76.96424463,1,44.431,0.36,0,0,76.96424463,0,0.36,0.27,-4.546834609
149,0,0,80.144088,8.464898,53.26535464,1,48.86,0.46,0,0,53.26535464,0,0.46,0.37,-5.700443573
145,3,2,80.196449,8.406373,78.50559766,1,50.368,0.46,0,0,78.50559766,0,0.46,0.37,-3.706579031
139,0,0,80.444034,8.405062,87.33488622,1,216.027,0.32,0,0,87.33488622,0,0.32,0.23,-5.631211782
156,0,0,80.314492,8.353041,84.23107238,1,239.29,0.32,0,0,84.23107238,0,0.32,0.23,-5.746203191
157,2,1,80.875338,8.250418,131.2135684,1,5.852,0.19,0,0,131.2135684,0,0.19,0.1,-4.130355
156,1,1,80.885217,8.107618,88.44831345,1,193.119,0.19,0,0,88.44831345,0,0.19,0.1,-4.641180624
159,3,2,80.902705,8.035663,86.17064,1,1441.13,0.19,0,0,86.17064,0,0.19,0.1,-3.800293041
138,0,0,80.928339,8.022495,92.57376539,1,414.969,0.19,0,0,92.57376539,0,0.19,0.1,-5.624017506
149,1,1,80.907889,7.974141,129.0940581,1,47.506,0.19,0,0,129.0940581,0,0.19,0.1,-4.59511985
157,0,0,80.925749,8.005945,107.6129518,1,47.506,0.19,0,0,107.6129518,0,0.19,0.1,-5.752572639
141,1,0,80.946742,8.008895,66.57490141,1,166.62,0.19,0,0,66.57490141,0,0.19,0.1,-4.539742381
146,2,2,80.943919,7.98217,82.64037782,1,384.5683126,0.19,0,0,82.64037782,0,0.19,0.1,-4.056988776
148,0,0,80.971188,7.993389,68.7573889,1,205.403,0.19,0,0,68.7573889,0,0.19,0.1,-5.693732139
172,0,0,81.027277,7.492334,101.3791283,1,175.012,0.44,0,0,101.3791283,0,0.44,0.35,-5.843544417
90,1,1,81.012054,7.407944,106.0001132,1,168.019,0.44,0,0,106.0001132,0,0.44,0.35,-4.088773517
150,0,0,81.000147,7.351963,98.58119528,1,255.684,0.44,0,0,98.58119528,0,0.44,0.35,-5.707110265
139,2,1,81.014042,7.306409,96.67766606,1,606.757,0.44,0,0,96.67766606,0,0.44,0.35,-4.007333185
156,2,2,81.112938,7.347456,151.6564028,2,45.587,0.55,1,0,151.6564028,0,0.55,0.46,-4.123903364
166,0,0,81.161009,7.307039,183.0857275,2,72.53,0.55,1,0,183.0857275,23.08572752,0.55,0.46,-5.80814249
156,2,2,81.045252,7.346921,122.0406245,1,92.108,0.55,0,0,122.0406245,0,0.55,0.46,-4.123903364
166,0,0,81.05539,7.312205,119.9308131,1,513.342,0.55,0,0,119.9308131,0,0.55,0.46,-5.80814249
159,0,0,81.11183,7.216701,270.557975,2,287.528,0.55,1,0,270.557975,110.557975,0.55,0.46,-5.765191103
156,0,0,81.247038,7.166239,231.8411058,2,142.214,0.36,1,0,231.8411058,71.84110583,0.36,0.27,-5.746203191
145,0,0,81.191392,7.170632,263.3703089,2,120.272,0.36,1,0,263.3703089,103.3703089,0.36,0.27,-5.673323267
148,1,1,81.141229,7.153362,553.9391272,2,76.957,0.36,1,0,553.9391272,393.9391272,0.36,0.27,-4.588363068
161,1,1,81.243101,7.133025,217.7493747,2,338.009,0.36,1,0,217.7493747,57.74937468,0.36,0.27,-4.672828834
141,2,0,81.470968,7.302594,203.4194898,2,6.571,0.55,1,0,203.4194898,43.41948978,0.55,0.46,-4.021773869
142,1,1,81.396028,6.983961,175.3482395,2,104.445,0.55,1,0,175.3482395,15.34823948,0.55,0.46,-4.546834609
137,2,2,81.357335,6.979554,197.0490702,2,297.814,0.55,1,0,197.0490702,37.04907018,0.55,0.46,-3.992680908
140,3,0,81.416382,6.946533,168.3187916,2,61.968,0.55,1,0,168.3187916,8.318791558,0.55,0.46,-3.670860949
160,0,0,81.343764,6.949268,210.0754586,2,137.019,0.55,1,0,210.0754586,50.07545856,0.55,0.46,-5.771441123
162,0,0,80.252321,6.882902,82.88279395,3,700.02,0.04,0,1,82.88279395,0,0.04,0,-5.783825182
122,0,0,80.225935,6.868899,76.59444866,3,623.808,0.04,0,1,76.59444866,0,0.04,0,-5.501258211
133,1,0,80.214335,6.865909,150.429671,3,1209.49,0.04,0,1,150.429671,0,0.04,0,-4.481117537
141,0,0,80.243436,6.862644,103.8799933,3,962.8,0.04,0,1,103.8799933,0,0.04,0,-5.645446898
131,0,0,80.265736,6.868244,100.1338431,3,1282.41,0.04,0,1,100.1338431,0,0.04,0,-5.572154032
129,2,1,80.194242,6.774826,143.7052453,3,214.826,0.04,0,1,143.7052453,0,0.04,0,-3.931825633
156,2,1,80.300765,6.84253,161.8356742,3,817.41,0.02,0,1,161.8356742,1.83567424,0.02,0,-4.123903364
157,0,0,80.37555,6.733814,34.51371568,3,2774.27,0.02,0,1,34.51371568,0,0.02,0,-5.752572639
145,0,0,80.366472,7.380336,174.5393317,2,232.583,0.06,1,0,174.5393317,14.53933174,0.06,0,-5.673323267
157,0,0,80.356673,7.360461,155.5517489,2,1423.88,0.06,1,0,155.5517489,0,0.06,0,-5.752572639
152,0,0,80.36922,7.354998,137.9443494,2,566.934,0.06,1,0,137.9443494,0,0.06,0,-5.720311777
163,0,0,80.355115,7.32365,103.6222136,2,318.394,0.06,1,0,103.6222136,0,0.06,0,-5.789960171
151,1,1,80.426581,7.32018,199.2761583,3,398.429,0.06,0,1,199.2761583,39.27615834,0.06,0,-4.608497976
144,1,0,80.407571,7.311866,160.318475,3,362.359,0.06,0,1,160.318475,0.31847496,0.06,0,-4.560869927
172,0,0,80.333476,7.31538,105.4530033,2,123.646,0.06,1,0,105.4530033,0,0.06,0,-5.843544417
171,2,0,80.43942,7.314065,231.5155146,3,1848.55,0.06,0,1,231.5155146,71.51551456,0.06,0,-4.216562195
162,0,0,80.402155,7.260351,160.0368056,3,494.815,0.06,0,1,160.0368056,0.036805624,0.06,0,-5.783825182
137,0,0,79.904411,6.910447,7.036970174,3,5000,0.01,0,1,7.036970174,0,0.01,0,-5.616771098
159,0,0,79.996678,6.873277,23.23776281,3,1695.07,0.01,0,1,23.23776281,0,0.01,0,-5.765191103
149,1,0,79.938453,6.888157,18.56906386,3,5000,0.01,0,1,18.56906386,0,0.01,0,-4.59511985
149,0,0,79.925264,6.885705,8.892793536,3,3185.61,0.01,0,1,8.892793536,0,0.01,0,-5.700443573
134,0,0,80.065548,6.873372,21.25816924,3,851.787,0.03,0,1,21.25816924,0,0.03,0,-5.59471138
137,0,0,80.016023,6.857672,25.60919164,3,910.005,0.03,0,1,25.60919164,0,0.03,0,-5.616771098
127,0,0,80.009979,6.859285,22.26402443,3,5000,0.03,0,1,22.26402443,0,0.03,0,-5.541263545
140,0,0,80.005396,6.856504,21.84243282,3,3955.96,0.03,0,1,21.84243282,0,0.03,0,-5.638354669
128,0,0,80.019501,6.843761,35.36091375,3,3186.57,0.03,0,1,35.36091375,0,0.03,0,-5.549076085
153,0,0,79.998594,6.818138,28.15313398,3,1926.56,0.03,0,1,28.15313398,0,0.03,0,-5.726847748
147,0,0,79.98997,6.801729,15.84211414,3,2056.78,0.03,0,1,15.84211414,0,0.03,0,-5.686975356
130,0,0,79.966887,6.799081,17.49967803,3,1125.52,0.03,0,1,17.49967803,0,0.03,0,-5.564520407
139,0,0,80.005802,6.80285,18.17517776,3,2473.67,0.03,0,1,18.17517776,0,0.03,0,-5.631211782
125,0,0,80.019683,6.802287,27.93598521,3,1060.35,0.03,0,1,27.93598521,0,0.03,0,-5.525452939
155,2,0,79.964304,6.775248,9.369817114,3,1565.28,0.03,0,1,9.369817114,0,0.03,0,-4.117409835
136,0,0,80.092892,6.904547,26.2196837,3,781.253,0.01,0,1,26.2196837,0,0.01,0,-5.609471795
145,2,2,80.090251,6.895128,35.42391563,3,3068.77,0.01,0,1,35.42391563,0,0.01,0,-4.050044303
