"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"50",406357.570567719,792706.488324056,1.81821900646639e-07,8.47864557425651e-12,5.72123159958693e-08,5.65778194072664e-07,2.20117657434571e-08,1.5842407941058e-07,1.94478396060849e-10,9.85451212910844e-07,7.49253767349628e-06,6.86978849297637e-06,4.50851415959003e-05,3908.03802661072,0.00230679153492522,0.00274516529628987,3
"53",420142.570567719,792706.488324056,1.26327763361189e-07,3.78961558043355e-12,6.3331418553858e-08,9.52892809102934e-08,2.61125069345169e-08,6.42727999711212e-08,3.72684486396602e-09,3.79064404210525e-07,2.31705361225633e-06,3.09786848523647e-06,1.63769469689783e-05,65884.5213352556,0.00188467014560677,0.00136518744246677,4
"55",429332.570567719,792706.488324056,2.31848495069187e-07,2.42509439484266e-12,1.42575545147849e-07,2.90148707060567e-07,6.88374346413667e-08,3.86046761668979e-07,1.92341178401056e-09,1.12138278046635e-06,7.13593947248386e-06,9.26391152081504e-06,5.1929474710578e-05,6169.99453496283,0.00234364927812587,0.00307562010183709,3
"56",433927.570567719,792706.488324056,1.47889589463546e-07,5.31217586373261e-13,8.93090632558824e-08,9.18125732107811e-08,4.50884787284167e-08,1.87397951600943e-07,3.9534541959596e-09,5.65451641673115e-07,3.33997321876419e-06,4.84425311181469e-06,2.54394234895318e-05,9366.28930316719,0.00239342585673549,0.00263744926880225,3
"57",438522.570567719,792706.488324056,1.7834171073261e-07,4.66406577547446e-12,1.01797255069869e-07,2.54318005765697e-07,5.18322613718425e-08,2.11837580588181e-07,2.09113905358382e-09,8.00222616647559e-07,5.30430353472775e-06,6.34899005656195e-06,3.65859552540701e-05,8648.3417729618,0.00242388896293603,0.00277632253226381,3
"58",443117.570567719,792706.488324056,2.49135463370465e-07,5.2915755868687e-12,1.28258704990003e-07,4.20749654672647e-07,6.66389184944549e-08,2.07734255797121e-07,2.29828470144078e-09,1.07482057360172e-06,7.45069257710181e-06,8.15730047087979e-06,4.86806113688961e-05,3774.17847710946,0.00241862493426253,0.00343472267286448,3
"59",447712.570567719,792706.488324056,1.87438478960189e-07,2.09462449301249e-13,8.42832497127688e-08,1.56892131286668e-07,4.40792995437533e-08,8.31583339966357e-08,3.83564627975952e-09,5.59687349242224e-07,3.49766302105092e-06,4.46933692266479e-06,2.38393477790061e-05,499.257384316921,0.00260220284221353,0.00336609665128323,3
"61",456902.570567719,792706.488324056,1.34111406424609e-07,1.90990961686634e-13,6.80697123112139e-08,1.01738665492235e-07,3.055467068247e-08,1.69691129259242e-07,1.70796398551998e-09,5.05873739146251e-07,2.99441749428627e-06,4.32078969335436e-06,2.26261846652599e-05,2542.33785480275,0.00247889422031918,0.00211190483917635,3
"68",415547.570567719,788096.488324056,5.72154004174763e-08,1.63372650258855e-12,2.11973658625908e-08,5.50828120893243e-08,8.79866135505836e-09,4.36181961660509e-08,2.35510182536314e-10,1.8614957979954e-07,1.14233013783148e-06,1.52237151642054e-06,8.04053692913755e-06,6212.76962839826,0.00229615888034143,0.00199574372896317,3
"72",433927.570567719,788096.488324056,1.20700780037453e-07,4.19275892284588e-12,7.59558695939688e-08,1.19554728783555e-07,3.95343189296682e-08,1.55366153720138e-07,1.43988089160163e-09,5.12555924715307e-07,3.22541324066811e-06,4.2380864427032e-06,2.34312400742801e-05,650.449450486017,0.0025361889400919,0.00315887312811969,3
"74",447712.570567719,788096.488324056,2.12064827032066e-07,1.41306686725953e-12,9.30072152627304e-08,2.02718276609559e-07,4.83441028320541e-08,5.88898250164505e-08,6.57954064148258e-09,6.2160520046121e-07,4.01273895258012e-06,4.80483603596658e-06,2.62520933024394e-05,1209.53529901741,0.00251056504951413,0.00323757064420612,2
